的	的 的话 的确
绘	绘 绘画 绘制
融	融 融合 融化 融洽
盆	盆 盆地 盆景
锡	锡 锡伯
庙	庙 庙宇
筹	筹 筹备 筹集 筹建
冻	冻 冻结 冻疮
辅	辅 辅助 辅导
摄	摄 摄影 摄取 摄氏度 摄氏
袭	袭 袭击 袭来
拒	拒 拒绝
鸟	鸟 鸟类
漆	漆 漆黑
沈	沈 沈阳 沈括
眉	眉 眉头 眉毛
疏	疏 疏松 疏忽 疏远
棒	棒 棒槌
硝	硝 硝酸 硝酸钾
逼	逼 逼真 逼迫 逼近
扭	扭 扭转 扭头 扭曲 扭动
凉	凉 凉爽
挺	挺 挺进 挺拔
栽	栽 栽培 栽植
杯	杯 杯子
患	患 患者 患病 患有
劝	劝 劝说 劝告 劝阻
豪	豪 豪华 豪迈
辽	辽 辽阔 辽宁
鸿	鸿 鸿渐
拜	拜 拜访
埋	埋 埋怨 埋头 埋藏 埋伏 埋葬
掩	掩 掩盖 掩护 掩饰
饮	饮 饮食 饮酒 饮水 饮料
搬	搬 搬到 搬家 搬运 搬来
骂	骂 骂人 骂道
辞	辞 辞职
勾	勾 勾结
扣	扣 扣除
估	估 估计 估算
蒋	蒋 蒋介石 蒋经国
绒	绒 绒毛
丈	丈 丈夫
拟	拟 拟定
宇	宇 宇宙 宇航员 宇航 宇宙飞船
陕	陕 陕西 陕北
雕	雕 雕塑 雕刻 雕像
番	番 番茄
偿	偿 偿还
崇	崇 崇拜 崇高 崇敬
倡	倡 倡导
咬	咬 咬住
赋	赋 赋予
奉	奉 奉献 奉命 奉行
浇	浇 浇水
漫	漫 漫长 漫画 漫步 漫不经心
扇	扇 扇子
桃	桃 桃花 桃子
扶	扶 扶持
仔	仔 仔细
返	返 返回
棱	棱 棱镜
俗	俗 俗称 俗话说
亏	亏 亏损
鞋	鞋 鞋子
覆	覆 覆盖
悄	悄 悄悄 悄声
叔	叔 叔叔 叔同
撞	撞 撞击
骗	骗 骗人 骗子
勘	勘 勘探
旺	旺 旺盛
沸	沸 沸腾 沸点
孤	孤 孤立 孤独 孤儿
吐	吐 吐出
孟	孟 孟子
屈	屈 屈服 屈原
渠	渠 渠道
疾	疾 疾病
仰	仰 仰望 仰起
狠	狠 狠狠
抛	抛 抛弃 抛出
桑	桑 桑叶
衰	衰 衰老 衰落 衰变 衰弱 衰退
岗	岗 岗位
盗	盗 盗窃
渗	渗 渗透 渗出 渗入
脏	脏 脏腑
赖	赖 赖以
涌	涌 涌现 涌起 涌出
甜	甜 甜蜜
曹	曹 曹志道 曹操 曹英
阅	阅 阅读
肌	肌 肌肉
厉	厉 厉害 厉声
纬	纬 纬度
毅	毅 毅然 毅力
昨	昨 昨天 昨晚 昨夜 昨日
伪	伪 伪军 伪造
症	症 症状
叹	叹 叹息 叹气
钉	钉 钉子
搭	搭 搭配
笼	笼 笼罩 笼统
偷	偷 偷偷
恒	恒 恒星 恒定
杰	杰 杰出 杰作
鼻	鼻 鼻子 鼻孔 鼻腔 鼻梁
叙	叙 叙述 叙事 叙利亚
狱	狱 狱中
逮	逮 逮捕
罐	罐 罐头
棚	棚 棚子
抑	抑 抑制 抑郁
膨	膨 膨胀
蔬	蔬 蔬菜
寺	寺 寺院
骤	骤 骤然
穆	穆 穆斯林
框	框 框架
冶	冶 冶金 冶炼
枯	枯 枯燥 枯竭
尸	尸 尸体
绅	绅 绅士
牺	牺 牺牲
轰	轰 轰动 轰轰烈烈 轰炸 轰鸣 轰击
欣	欣 欣赏 欣赏者 欣喜 欣慰
晋	晋 晋升
瘦	瘦 瘦弱
锦	锦 锦标赛
丧	丧 丧失
锻	锻 锻炼
垄	垄 垄断 垄断资本
搜	搜 搜集 搜索 搜查
扑	扑 扑来
邀	邀 邀请 邀请赛
迈	迈 迈进 迈出
舒	舒 舒服 舒适 舒畅 舒展
脆	脆 脆弱
闲	闲 闲话 闲谈
忧	忧 忧郁 忧虑 忧愁
顽	顽 顽强 顽固 顽皮 顽固派
羽	羽 羽毛
涨	涨 涨落 涨价
陪	陪 陪着 陪同
惩	惩 惩罚 惩办
杭	杭 杭州
肚	肚 肚子 肚皮 肚里
捉	捉 捉住 捉摸
飘	飘 飘荡 飘来
漂	漂 漂亮 漂移
昆	昆 昆虫 昆明
欺	欺 欺骗 欺负 欺侮
吾	吾 吾人
雅	雅 雅典
邮	邮 邮票 邮电 邮局 邮政
迁	迁 迁移 迁徙 迁到 迁就
燕	燕 燕子
撒	撒 撒谎
宴	宴 宴会
烦	烦 烦恼 烦躁
债	债 债务 债券 债务人 债权
帐	帐 帐篷
铃	铃 铃声
董	董 董事长 董事
姿	姿 姿态 姿势
腹	腹 腹部 腹腔
妥	妥 妥协 妥善 妥当
拆	拆 拆开
歪	歪 歪曲
葡	葡 葡萄 葡萄糖 葡萄牙
丢	丢 丢下 丢掉 丢失
浩	浩 浩瀚
昂	昂 昂贵
挡	挡 挡住
贪	贪 贪婪 贪污
抹	抹 抹煞
慰	慰 慰问
缴	缴 缴纳
冯	冯 冯涛 冯玉祥 冯俭
汪	汪 汪精卫
慌	慌 慌忙 慌乱 慌张
诺	诺 诺贝尔
凶	凶 凶手 凶恶 凶猛 凶狠
诬	诬 诬蔑
耀	耀 耀眼
昏	昏 昏迷 昏暗
躺	躺 躺下 躺在
盈	盈 盈利 盈亏
骑	骑 骑兵 骑马
乔	乔 乔木
溪	溪 溪流 溪水
丛	丛 丛林
誉	誉 誉为
咨	咨 咨询
驾	驾 驾驶 驾驭 驾驶员
屏	屏 屏幕 屏上
摘	摘 摘下
饵	饵 饵料
堡	堡 堡垒
颇	颇 颇为
幻	幻 幻想 幻觉
仇	仇 仇恨
腊	腊 腊梅 腊月
宿	宿 宿舍 宿主
瞧	瞧 瞧见 瞧不起
胎	胎 胎儿
苍	苍 苍白 苍蝇
疯	疯 疯狂
淮	淮 淮河
熊	熊 熊熊
粪	粪 粪便
档	档 档案
驳	驳 驳斥
嫂	嫂 嫂子 嫂嫂
箭	箭 箭头
吓	吓 吓人 吓唬
辨	辨 辨别 辨认 辨证
莲	莲 莲子 莲花
摊	摊 摊开 摊子
搅	搅 搅拌
哀	哀 哀求
堵	堵 堵塞 堵住
皱	皱 皱纹
畅	畅 畅销 畅通
敲	敲 敲门
痕	痕 痕迹
饿	饿 饿死
丘	丘 丘陵
逻	逻 逻辑 逻辑思维
彭	彭 彭湃
朴	朴 朴素 朴实
尝	尝 尝试 尝到
妨	妨 妨碍
吞	吞 吞噬 吞食 吞下
柏	柏 柏拉图 柏林
怨	怨 怨恨
矮	矮 矮小
郊	郊 郊区
颠	颠 颠倒 颠簸 颠覆
宏	宏 宏观 宏伟 宏观经济 宏大
冤	冤 冤枉
饥	饥 饥饿
挨	挨 挨打 挨着
娃	娃 娃娃
拾	拾 拾起
佩	佩 佩服
恋	恋 恋爱
夕	夕 夕阳
淋	淋 淋巴 淋巴结
蓬	蓬 蓬勃
岂	岂 岂不 岂不是
拘	拘 拘留 拘束
妄	妄 妄图 妄想
杠	杠 杠杆
摧	摧 摧毁 摧残
浑	浑 浑身 浑浊
凌	凌 凌晨
诱	诱 诱导 诱发 诱惑 诱人
谴	谴 谴责
颁	颁 颁布 颁发
萌	萌 萌发 萌芽
犹	犹 犹如 犹豫 犹太人 犹太
滋	滋 滋味 滋润
焊	焊 焊接
舌	舌 舌头 舌尖
媳	媳 媳妇
肺	肺 肺炎
掠	掠 掠夺 掠过
烹	烹 烹调
疲	疲 疲劳 疲倦 疲乏 疲惫
驰	驰 驰骋
鸦	鸦 鸦片 鸦片战争
狭	狭 狭窄 狭义 狭隘 狭小 狭长
敦	敦 敦煌
菲	菲 菲律宾 菲菲
契	契 契约
辣	辣 辣椒
拳	拳 拳头
卧	卧 卧室
竭	竭 竭力
茅	茅 茅草 茅屋 茅盾
墓	墓 墓地
哎	哎 哎呀 哎哟
舆	舆 舆论
缔	缔 缔结
雇	雇 雇佣
尿	尿 尿素
履	履 履行
衬	衬 衬衫 衬衣 衬托
躲	躲 躲避 躲到 躲开
赔	赔 赔偿
抖	抖 抖动
裤	裤 裤子
廉	廉 廉价
晴	晴 晴朗 晴天
挽	挽 挽救 挽回
掀	掀 掀起 掀开
茫	茫 茫然 茫茫
丑	丑 丑恶
拦	拦 拦住
悠	悠 悠久 悠悠 悠闲
阐	阐 阐述 阐明
柜	柜 柜台 柜子
竖	竖 竖起 竖直
遥	遥 遥远 遥感
逝	逝 逝世
肖	肖 肖邦 肖武斌 肖像
扁	扁 扁担 扁平
盲	盲 盲目 盲目性
辐	辐 辐射
披	披 披上
狼	狼 狼狈
幽	幽 幽默 幽静
慎	慎 慎重
餐	餐 餐厅 餐馆
弥	弥 弥补 弥漫
仆	仆 仆人
盒	盒 盒子
寂	寂 寂寞 寂静
倘	倘 倘若
喉	喉 喉咙 喉头
颈	颈 颈部
拚	拚 拚命
芦	芦 芦苇
乾	乾 乾隆
爽	爽 爽朗 爽快
谭	谭 谭嗣同
挣	挣 挣扎 挣脱
崩	崩 崩溃
褐	褐 褐色
颤	颤 颤抖 颤动
翅	翅 翅膀
儒	儒 儒家
晃	晃 晃动
谬	谬 谬论
胚	胚 胚胎
剖	剖 剖面 剖析
凑	凑 凑近 凑巧
礁	礁 礁石
蔑	蔑 蔑视
闯	闯 闯进
耶	耶 耶稣
猜	猜 猜想 猜测
蹲	蹲 蹲下
唤	唤 唤起 唤醒
绵	绵 绵羊
纽	纽 纽约 纽带
掏	掏 掏出
膀	膀 膀胱
椅	椅 椅子
殷	殷 殷勤
遮	遮 遮住
吵	吵 吵架 吵闹
厌	厌 厌恶
澄	澄 澄清
俱	俱 俱乐部
夸	夸 夸张 夸大 夸奖
吕	吕 吕布
雌	雌 雌雄 雌蕊
瞬	瞬 瞬间
哨	哨 哨兵
茂	茂 茂密 茂盛 茂林
肝	肝 肝脏 肝炎
盯	盯 盯住
耻	耻 耻辱
菊	菊 菊花
滥	滥 滥用
戒	戒 戒指
鞭	鞭 鞭子 鞭炮 鞭策
蚕	蚕 蚕丝
询	询 询问
跌	跌 跌落
鄂	鄂 鄂温克 鄂伦春
棍	棍 棍子
睁	睁 睁开 睁大
嚷	嚷 嚷嚷
匪	匪 匪徒
岳	岳 岳飞
糟	糟 糟糕 糟粕
缠	缠 缠绕
卑	卑 卑鄙
堪	堪 堪称
萝	萝 萝卜
悦	悦 悦耳
攀	攀 攀登
屠	屠 屠杀
携	携 携带
菱	菱 菱形
谦	谦 谦虚
盼	盼 盼望
婶	婶 婶子
趁	趁 趁着 趁机
挫	挫 挫折 挫伤
羞	羞 羞愧
疼	疼 疼痛 疼爱
萎	萎 萎缩
愚	愚 愚昧 愚蠢
肿	肿 肿瘤 肿大 肿胀
嫁	嫁 嫁给 嫁接
舱	舱 舱里
铲	铲 铲除
苹	苹 苹果
榜	榜 榜样
胃	胃 胃口 胃肠
沾	沾 沾满
弊	弊 弊端 弊病
歧	歧 歧视
溃	溃 溃疡
蔗	蔗 蔗糖
诊	诊 诊断
孢	孢 孢子
庸	庸 庸俗
聪	聪 聪明 聪明才智
厨	厨 厨房 厨师
庞	庞 庞大
赠	赠 赠送
篮	篮 篮子 篮球
胖	胖 胖子
藻	藻 藻类
捣	捣 捣乱
贞	贞 贞观
慈	慈 慈爱 慈祥 慈禧
炕	炕 炕上
卓	卓 卓越
婴	婴 婴儿
祭	祭 祭祀
勉	勉 勉强
逸	逸 逸出
蜜	蜜 蜜蜂
嗓	嗓 嗓子 嗓门 嗓音
赢	赢 赢得
扮	扮 扮演
怜	怜 怜悯
兔	兔 兔子
孕	孕 孕育 孕妇
挪	挪 挪威
谣	谣 谣言
缅	缅 缅甸
俘	俘 俘虏
骄	骄 骄傲
咽	咽 咽喉
宰	宰 宰相
诞	诞 诞生
猎	猎 猎人
愉	愉 愉快
魔	魔 魔鬼 魔术师
脊	脊 脊髓 脊柱 脊椎动物
钞	钞 钞票
椭	椭 椭圆形 椭圆
杏	杏 杏仙
匆	匆 匆匆 匆忙
僵	僵 僵化
衍	衍 衍射
榨	榨 榨取
裸	裸 裸露 裸体
舅	舅 舅舅
渴	渴 渴望
猫	猫 猫头鹰
钦	钦 钦佩
厦	厦 厦门
媒	媒 媒介
脾	脾 脾气
噪	噪 噪音 噪声
昼	昼 昼夜
贩	贩 贩卖
衷	衷 衷心
扔	扔 扔下 扔掉
嘱	嘱 嘱咐
藤	藤 藤椅
悔	悔 悔恨
拐	拐 拐杖
刹	刹 刹那间
罕	罕 罕见
淘	淘 淘汰 淘气
衔	衔 衔接
喇	喇 喇叭
摔	摔 摔倒
脖	脖 脖子 脖颈
瞪	瞪 瞪大
暑	暑 暑假
歼	歼 歼灭
蕴	蕴 蕴藏
哗	哗 哗哗
瞎	瞎 瞎子
喘	喘 喘息 喘气
膝	膝 膝盖
恳	恳 恳求
屡	屡 屡次
熄	熄 熄灭
骚	骚 骚动
弗	弗 弗洛伊德
衙	衙 衙门
轿	轿 轿车
谅	谅 谅解
哑	哑 哑剧
栖	栖 栖息
滔	滔 滔滔
棕	棕 棕色
吻	吻 吻合
樱	樱 樱桃
奠	奠 奠定
聘	聘 聘请
咖	咖 咖啡
寡	寡 寡妇
嘿	嘿 嘿嘿
稠	稠 稠密
擅	擅 擅自 擅长
敞	敞 敞开
谨	谨 谨慎
鲤	鲤 鲤鱼
葫	葫 葫芦
咳	咳 咳嗽
鳞	鳞 鳞片
拼	拼 拼命 拼音 拼搏
搏	搏 搏斗
坟	坟 坟墓
嘻	嘻 嘻嘻
坎	坎 坎坷
煽	煽 煽动
狮	狮 狮子
胳	胳 胳膊
渊	渊 渊源
跪	跪 跪下
譬	譬 譬如 譬如说
侮	侮 侮辱
枕	枕 枕头
辫	辫 辫子
兑	兑 兑现
扼	扼 扼杀
凄	凄 凄凉 凄惨
耦	耦 耦合
屁	屁 屁股
匈	匈 匈牙利
钓	钓 钓鱼
涵	涵 涵义
抒	抒 抒情 抒发
聊	聊 聊天
灿	灿 灿烂
狡	狡 狡猾
笨	笨 笨重
辜	辜 辜负
僧	僧 僧侣
讽	讽 讽刺
崭	崭 崭新
咕	咕 咕咕
猴	猴 猴子
汹	汹 汹涌
傍	傍 傍晚
迄	迄 迄今
昔	昔 昔日
钥	钥 钥匙
嘲	嘲 嘲笑 嘲讽
癌	癌 癌症
歉	歉 歉意
鄙	鄙 鄙视
庐	庐 庐山
躯	躯 躯体 躯干
贬	贬 贬值
淤	淤 淤泥
炊	炊 炊事员
骆	骆 骆驼
裙	裙 裙子
猖	猖 猖獗 猖狂
孵	孵 孵化
咀	咀 咀嚼
陛	陛 陛下
吼	吼 吼叫
槐	槐 槐树
乞	乞 乞丐
赚	赚 赚钱
捍	捍 捍卫
耽	耽 耽误 耽心
叮	叮 叮嘱
焕	焕 焕发
淹	淹 淹没
灼	灼 灼热
蛤	蛤 蛤蟆
沦	沦 沦为
咯	咯 咯咯
陌	陌 陌生 陌生人
玫	玫 玫瑰
锄	锄 锄头
赌	赌 赌博
珊	珊 珊瑚
闺	闺 闺女
蔓	蔓 蔓延
豌	豌 豌豆
荧	荧 荧光屏 荧光
耸	耸 耸立
瀑	瀑 瀑布
柴	柴 柴油机 柴可夫斯基
喃	喃 喃喃
撰	撰 撰写
慷	慷 慷慨
袜	袜 袜子
吱	吱 吱吱
凳	凳 凳子
喧	喧 喧闹
愣	愣 愣住
锣	锣 锣鼓
沼	沼 沼泽
矫	矫 矫正
肾	肾 肾脏
疙	疙 疙瘩
畸	畸 畸形
荔	荔 荔枝
虐	虐 虐待
宛	宛 宛如
烙	烙 烙印
姊	姊 姊妹
棺	棺 棺材
惰	惰 惰性
窒	窒 窒息
丫	丫 丫头
嗜	嗜 嗜好
炽	炽 炽热
镰	镰 镰刀
剔	剔 剔除
羡	羡 羡慕
嗅	嗅 嗅觉
酝	酝 酝酿
禅	禅 禅宗
蚊	蚊 蚊子
鞠	鞠 鞠躬
牡	牡 牡丹 牡蛎
乒	乒 乒乓球
驯	驯 驯服
吭	吭 吭声
歹	歹 歹徒
攫	攫 攫取
渤	渤 渤海
啤	啤 啤酒
诧	诧 诧异
堕	堕 堕落
筷	筷 筷子
傀	傀 傀儡
抨	抨 抨击
呜	呜 呜呜
迂	迂 迂回
摹	摹 摹仿
崎	崎 崎岖
魅	魅 魅力
唾	唾 唾沫 唾液
柿	柿 柿子
洽	洽 洽谈
娱	娱 娱乐
惭	惭 惭愧
乖	乖 乖乖
紊	紊 紊乱
渺	渺 渺小
鲫	鲫 鲫鱼
哺	哺 哺乳动物 哺乳 哺育
吆	吆 吆喝
徘	徘 徘徊
莎	莎 莎士比亚
隧	隧 隧道
湍	湍 湍流
榆	榆 榆树
砧	砧 砧木
碉	碉 碉堡
殴	殴 殴打
眺	眺 眺望
恍	恍 恍然大悟 恍惚
狐	狐 狐狸
竣	竣 竣工
窟	窟 窟窿
瘫	瘫 瘫痪
蜗	蜗 蜗牛
膳	膳 膳食
绚	绚 绚丽
厕	厕 厕所
琢	琢 琢磨
朦	朦 朦胧
菩	菩 菩萨
妓	妓 妓女
呻	呻 呻吟
蚯	蚯 蚯蚓
蝴	蝴 蝴蝶
蚂	蚂 蚂蚁
馒	馒 馒头
呕	呕 呕吐
蠕	蠕 蠕动
祈	祈 祈祷 祈求
尴	尴 尴尬
倔	倔 倔强
吩	吩 吩咐
嫉	嫉 嫉妒
辗	辗 辗转
嘈	嘈 嘈杂
嘀	嘀 嘀咕
濒	濒 濒临
鸽	鸽 鸽子
嗡	嗡 嗡嗡
拯	拯 拯救
柑	柑 柑桔
踌	踌 踌躇
糯	糯 糯米
汲	汲 汲取
酋	酋 酋长
垃	垃 垃圾
伽	伽 伽利略
猿	猿 猿人
蜿	蜿 蜿蜒
篝	篝 篝火
芭	芭 芭蕾 芭蕾舞
瞄	瞄 瞄准
蘑	蘑 蘑菇
瑶	瑶 瑶族
屹	屹 屹立
潇	潇 潇洒
踊	踊 踊跃
哆	哆 哆嗦
惋	惋 惋惜
漩	漩 漩涡
矗	矗 矗立
唠	唠 唠叨
渲	渲 渲染
咆	咆 咆哮
虔	虔 虔诚
臀	臀 臀部
狩	狩 狩猎
睫	睫 睫毛
诙	诙 诙谐
憧	憧 憧憬
姥	姥 姥姥
崛	崛 崛起
侥	侥 侥幸
啄	啄 啄木鸟
沐	沐 沐浴
翡	翡 翡翠
蝗	蝗 蝗虫
痉	痉 痉挛
肮	肮 肮脏
琵	琵 琵琶
俨	俨 俨然
蜘	蜘 蜘蛛
眸	眸 眸子
缫	缫 缫丝
蝙	蝙 蝙蝠
炫	炫 炫耀
摒	摒 摒弃
傣	傣 傣族
颌	颌 颌骨
邯	邯 邯郸
沮	沮 沮丧
疟	疟 疟疾
羔	羔 羔羊
憔	憔 憔悴
肛	肛 肛门
瞳	瞳 瞳孔
耷	耷 耷拉
螃	螃 螃蟹
鲨	鲨 鲨鱼
妩	妩 妩媚
陨	陨 陨石
嫦	嫦 嫦娥
侗	侗 侗族
蟋	蟋 蟋蟀
腼	腼 腼腆
蜻	蜻 蜻蜓
鳄	鳄 鳄鱼
缦	缦 缦杰
玳	玳 玳瑁
畲	畲 畲族
蝌	蝌 蝌蚪
澳	澳 澳大利亚 澳门
螳	螳 螳螂
僮	僮 僮族
蓦	蓦 蓦地
