一	一ＹＩ
忿	分心Ｆ
撩	扌大小
涟	氵车辶
谍	讠世木
拇	扌母Ｍ
瑾	王廿
疫	疒殳Ｙ
掘	扌尸出
梨	禾刂木
窒	穴一土
朽	木丂Ｘ
奕	亦大Ｙ
涅	氵日土
顷	匕页Ｑ
咋	口乍Ｚ
酬	酉州Ｃ
琦	王大可
蝙	虫户冊
吭	口亠几
僚	亻大小
镰	钅广兼
砚	石见Ｙ
瞅	目禾火
饥	饣几Ｊ
邸	Ｃ七阝
漾	氵水
婕	女一止
胤	儿幺月
呸	口不一
译	讠又干
峙	山土寸
寥	宀羽彡
凸	凸ＴＵ
垫	执土Ｄ
肋	月力Ｌ
噜	口鱼日
漓	氵文冂
剔	日彳刂
猩	犭日
梳	木充川
峨	山手戈
熄	火丿心
睿	卜冖目
禹	丿虫冂
址	土止Ｚ
蝴	虫古月
萌	艹日月
瞻	目言
眷	目Ｊ
蹬	癶首
绘	纟人云
龚	龙八
岔	分山Ｃ
唬	口虍几
飙	大大风
驭	马又Ｙ
漪	氵大可
侥	亻戈儿
肘	月寸Ｚ
侣	亻口口
熏	千黑Ｘ
螺	虫田小
聘	耳由丂
唾	口千垂
幢	巾立里
揣	扌山皿
坊	土方Ｆ
湛	氵其乚
谊	讠宀且
箫	彐川
沛	氵一巾
垮	土大Ｓ
妲	女日一
鹃	口冃鸟
翡	非羽Ｆ
琐	王贝
髓	骨辶
讥	讠几Ｊ
裕	衤谷Ｙ
薪	艹亲斤
毯	毛火火
骸	骨亥Ｈ
癸	癶一大
苹	艹干丷
匿	匚艹
脂	月匕日
玑	王几Ｊ
澎	氵吉彡
枢	木匚乂
懈	忄刀牛
宪	宀儿
搀	扌冫
皓	白告Ｈ
悸	忄禾子
嗷	口敖Ａ
跄	仓Ｑ
镯	钅罒勹
膨	月吉彡
憨	乛攵心
瓣	辛瓜辛
泻	氵冖Ｓ
踉	丶艮
黝	黑幺力
葫	艹古月
渣	氵木一
麾	广林毛
酿	酉丶艮
詹	厂言
沁	氵心Ｑ
眈	目巾乚
畔	田半Ｐ
懊	忄白大
熔	火宀谷
筷	忄夬
霖	雨林Ｌ
综	纟宀示
傍	亻旁方
瑕	王尸又
刁	一Ｄ
嚓	口宀示
惚	忄勹心
践	一戈
兢	古儿儿
尿	尸水Ｎ
秉	禾彐Ｂ
伞	人丷十
崆	山穴工
棉	木白巾
媳	女丿心
坟	土文Ｆ
鹅	手戈鸟
瀑	氵日氺
鲸	鱼高小
逮	彐水辶
糖	米广口
缉	纟口耳
稻	禾爫臼
暧	日爱Ａ
奎	大圭Ｋ
绸	纟冂土
隋	阝冃
狩	犭宀寸
湃	氵一丰
叽	口几Ｊ
饼	饣首廾
靡	广林非
锥	钅隹Ｚ
碟	石世木
拙	扌出Ｚ
簇	族矢
蝇	虫口乚
蚕	一大虫
叩	口卩Ｋ
咸	戊一口
亢	亠几Ｋ
澄	氵癶首
骏	马厶夂
辖	车宀口
媛	女爫又
姻	女囗大
扒	扌八Ｂ
赠	贝丷日
秩	禾失Ｚ
朔	丷山月
倔	亻尸出
嚼	口爫寸
卵	Ｇ冫卩
胶	月亠父
绚	纟勹日
镔	钅穴丘
蚊	虫文Ｗ
唧	口艮卩
炯	火冂口
罐	缶艹隹
浊	氵虫Ｚ
冶	冫厶口
讳	讠二卩
杭	木亠几
弊	丷攵廾
戳	羽隹戈
禄	礻彐水
斋	文丆皿
搐	扌玄田
炙	夕火Ｚ
佬	亻耂匕
聋	龙耳Ｌ
厄	厂Ｅ
凳	癶一几
鲨	氵少鱼
驴	马户Ｌ
盲	亡目Ｍ
锢	钅囗古
锡	钅日勹
诏	讠召Ｚ
伽	亻加Ｊ
铮	钅亅
缭	纟大小
鸭	甲鸟Ｙ
捶	扌千垂
唰	口尸刂
搔	扌又虫
滥	氵皿
恙	心Ｙ
谜	讠米辶
啃	口止冃
啼	口旁巾
驯	马川Ｘ
匣	匚甲Ｘ
悯	忄门文
鸾	亦鸟Ｌ
杉	木彡Ｓ
煜	火日立
拣	扌七小
拯	扌乛一
偎	亻田ｒ
呛	口仓Ｑ
绅	纟日丨
屿	山与Ｙ
煮	者灬Ｚ
璐	王各
冈	冂乂Ｇ
甄	覀土瓦
匈	勹乂凵
钓	钅勹丶
咔	口卜下
笙	丿
桀	夕舛木
蜥	虫木斤
囔	口十ｒ
缴	纟白攵
喳	口木一
泳	氵丶水
睬	目爫木
祟	出示Ｓ
崎	山大可
谣	讠爫缶
晖	日冖车
炭	山火
忑	下心Ｔ
栖	木西Ｑ
娴	女门木
忐	卜一心
榕	木宀谷
堤	土日止
哽	口丈日
烬	火尺冫
炒	火少Ｃ
棱	木土夂
肝	月干Ｇ
靴	革亻匕
痞	疒不口
阀	门亻戈
缪	纟羽彡
赦	土亦攵
殖	歹十且
纲	纟冂乂
璧	尸辛王
厘	厂里Ｌ
泓	氵弓厶
涕	氵丷弓
壤	土衣口
懿	士首心
闺	门圭Ｇ
浇	氵戈儿
匀	勹冫Ｙ
棚	木月月
娲	女口内
蔚	艹尸寸
稽	禾丶日
虾	虫下Ｘ
劭	召力Ｓ
茨	艹冫欠
戾	户大丶
橙	木癶首
厕	厂贝刂
捐	扌口冃
瘟	疒日皿
舵	舟宀匕
芯	艹心Ｘ
晒	日西Ｓ
烙	火各Ｌ
驸	马亻寸
亵	衣执Ｘ
颂	八厶页
钝	钅七凵
窘	穴丿口
懦	忄雨皿
稷	禾田夂
赎	贝十头
袅	鸟衣Ｎ
庶	广廿灬
腮	月田心
绢	纟口冃
葱	艹勹心
溶	氵宀谷
榻	木日羽
吨	口七凵
貂	豸召Ｄ
哉	十戈口
娥	女手戈
悚	忄木口
虔	虍文Ｑ
蹙	戊卜足
婶	女宀丨
屎	尸米Ｓ
磋	石工
殆	歹厶口
诩	讠羽Ｘ
蠕	虫雨皿
偌	亻艹口
拚	扌厶廾
骼	骨各Ｇ
觅	爫见Ｍ
旱	日干Ｈ
裔	衣冂八
昱	日立Ｙ
冕	日儿
屯	七凵Ｔ
惋	忄宀
萎	艹禾女
苑	艹夕
枭	鸟木Ｘ
惺	忄日
砂	石少Ｓ
殴	匚乂殳
叭	口八Ｂ
梢	木冃
缨	纟贝女
蹿	穴丨
飓	风且八
峭	山冃
甸	勹田Ｄ
谐	讠比白
澳	氵白大
聆	耳亽
腊	月日
缜	纟十八
帜	巾口八
昼	尺日一
滕	月氺
茧	艹虫Ｊ
绫	纟土夂
汰	氵大丶
皙	木斤白
踱	广又
嵩	山高Ｓ
兑	丷口儿
诊	讠人彡
葡	艹勹甫
筝	亅
邃	穴首辶
辑	车口耳
獠	犭大小
昕	日斤Ｘ
蜡	虫日
奄	大日乚
诵	讠用
腑	月广寸
悻	忄土十
憎	忄丷日
嗨	口母
敷	甫方攵
庇	广比Ｂ
榴	木刀田
晦	日母
祢	礻小
荀	艹勹日
慷	忄广水
寓	宀甲冂
茉	艹末Ｍ
咄	口出Ｄ
曙	日罒者
噪	口口木
吒	口丿七
缸	缶工Ｇ
幡	巾丿田
啤	口卑Ｐ
烨	火匕十
忡	忄口丨
粥	弓米弓
悴	忄亠十
咏	口丶水
颔	亽口页
洽	氵亼口
募	莫力Ｍ
驿	马又干
藩	落丿田
靶	革巴Ｂ
谬	讠羽彡
憔	忄焦Ｑ
邹	彐阝
痹	疒田丌
绊	纟半Ｂ
酋	酋ＱＵ
框	木匚王
茄	艹加Ｑ
挚	执手Ｚ
萄	艹勹缶
恬	忄舌Ｔ
聿	彐干Ｙ
檀	木亠一
凿	业首凵
璋	王章Ｚ
钞	钅少Ｃ
褐	衤日勹
蟹	刀虫
鬟	髟罒ｒ
铛	钅彐
曦	日戈
崽	山田心
胯	月大Ｓ
璀	王山隹
菇	艹女古
眺	目ＫＫ
瘩	疒艹口
璨	王又米
抡	扌人匕
斟	其乚斗
褪	衤艮辶
涎	氵丿廴
勺	勹丶Ｓ
溟	氵冖八
疙	疒乙
坪	土干丷
猥	犭田ｒ
塘	土广口
揖	扌口耳
逾	亼前辶
冽	冫歹刂
遏	日勹辶
芽	艹一才
裘	氺丶衣
徊	彳囗口
函	乛氺凵
槽	木西日
蟾	虫言
睫	目一止
珂	王可Ｋ
嘭	口吉彡
蒲	落甫Ｐ
煎	首前灬
庚	广彐人
荫	艹阝月
稿	禾高Ｇ
徘	彳非Ｐ
蛙	虫圭Ｗ
睽	目癶大
廓	广高阝
滨	氵穴丘
彰	章彡Ｚ
锵	钅夕寸
掺	扌厶彡
缰	纟一一
芭	艹巴Ｂ
嗒	口艹口
嘈	口西日
暄	日宀一
琅	王丶艮
萤	营虫Ｙ
旬	勹日Ｘ
翱	白十羽
栅	木册Ｚ
缈	纟目少
猝	犭亠十
魇	厂大儿
攒	扌贝
蜴	虫日勹
鞑	革大辶
窿	穴阝
扈	户口巴
蜷	虫
秽	禾山夕
崛	山尸出
谕	讠亼前
袱	衤大丶
瑚	王古月
磅	石旁方
缔	纟旁巾
攸	亻丨攵
缥	纟覀示
惬	忄匚夫
撅	扌厂欠
钮	钅丑Ｎ
阙	门丷山
鸽	亼口鸟
葵	艹癶大
曳	日乚丿
蔼	艹讠勹
礁	石焦Ｊ
苛	艹可Ｋ
佗	亻宀匕
庐	广户Ｌ
珀	王白Ｐ
稠	禾冂土
娉	女由丂
嗣	口冊
饵	饣耳Ｅ
耕	耒井Ｇ
肴	乂冃
渎	氵十头
嵋	山尸目
伶	亻亽
瑭	王广口
懵	忄艹目
饷	饣白口
韬	二卩臼
恃	忄土寸
浦	氵甫Ｐ
邢	一廾阝
咻	口亻木
隧	阝首辶
贷	代贝Ｄ
滢	氵营王
掳	扌虍力
颁	分页Ｂ
芜	艹干乚
檐	木言
祯	礻卜贝
吝	文口Ｌ
蘑	艹广石
咫	尺口八
茬	艹Ｐ土
怦	忄干丷
缀	纟又又
扼	扌厂
唠	口营力
趾	止Ｚ
殃	歹央Ｙ
噼	口尸辛
掂	扌广占
啐	口亠十
羌	乚Ｑ
畴	田丰寸
枷	木加Ｊ
捺	扌大示
禾	禾ＨＥ
绒	纟戈
邮	由阝Ｙ
辙	车充攵
籁	木负
煽	火户羽
戎	戈Ｒ
糙	米告辶
漱	氵木欠
竿	干Ｇ
瘪	疒丿匕
矫	矢丿刂
汀	氵丁Ｔ
吆	口幺Ｙ
怅	忄长Ｃ
攘	扌衣口
叼	口一
昵	日尸匕
烽	火夂丰
猖	犭日日
芥	艹人刂
紊	文幺小
甬	用Ｙ
跷	戈儿
靓	青见Ｌ
栩	木羽Ｘ
簌	木欠
寐	宀爿未
壕	土亮豕
侈	亻夕夕
嫡	女啇Ｄ
黏	禾氺占
亩	亠田Ｍ
酣	酉廿一
舆	臼车八
痊	疒全Ｑ
娆	女戈儿
侏	亻朱Ｚ
佯	亻羊Ｙ
锣	钅罒夕
佼	亻亠父
羲	丂戈
棣	木彐水
鳄	鱼口Ｓ
惘	忄冂首
霏	雨非Ｆ
媲	女白比
蔷	艹十囗
篝	井冂
蛤	虫亼口
虬	虫乚Ｑ
荧	营火Ｙ
舷	舟玄Ｘ
螂	虫丶阝
溺	氵弓弓
羿	羽廾Ｙ
巳	巳ＳＩ
仕	亻士Ｓ
攥	扌小
桦	木匕十
氧	气羊Ｙ
殇	歹Ｊ
捻	扌亽心
胄	由冃Ｚ
臧	戊乚丆
萦	营幺小
漉	氵鹿比
骋	马由丂
券	刀Ｑ
贬	贝丿之
瑛	王艹央
迂	于辶Ｙ
晟	日戊
雏	彐隹
勘	其乚力
煤	火廿木
坞	土乌Ｗ
衮	衣八厶
蓓	艹亻口
蹂	木
蜒	虫丿廴
忒	弋心Ｔ
晏	日安Ｙ
牡	牜土Ｍ
札	木乚Ｚ
缎	纟Ｅ殳
膏	高月Ｇ
屹	山乙
肮	月亠几
哒	口大辶
煦	日勹灬
棕	木宀示
糜	广林米
瞠	目尚土
筱	亻攵
躏	艹门
臻	一土禾
淤	氵人冫
瀛	氵赢女
蹊	爫大
孰	高子九
沪	氵户Ｈ
浙	氵扌斤
毗	田比Ｐ
呱	口瓜Ｇ
磐	舟殳石
矜	才乛
幺	幺ＹＯ
俨	亻亚丿
琥	王虍几
胴	月冂一
暑	日者Ｓ
雌	止匕隹
锯	钅尸古
硝	石冃
酱	丬夕酉
喋	口世木
箍	扌匚
婧	女青Ｊ
玺	小王
羁	罒革马
骁	马戈儿
拈	扌占Ｎ
迢	召辶Ｔ
衲	衤内Ｎ
呗	口贝Ｂ
钵	钅木一
鬓	髟穴丘
剖	立口刂
蜿	虫宀
鞍	革安Ａ
伫	亻宀一
恤	忄丿皿
铿	钅又土
鸳	夕鸟
蝗	虫白王
茸	艹耳Ｒ
赃	贝广土
谴	讠虫辶
邑	口巴Ｙ
俐	亻禾刂
吮	口厶儿
刊	干刂Ｋ
钳	钅廿一
亥	亥ＨＩ
噎	口士首
巩	工几丶
驹	马勹口
薰	艹千黑
踌	丰寸
饕	口虍食
矗	十且且
躇	艹者
蹑	耳又
弑	乂朩弋
崭	山车斤
褚	衤者Ｃ
湮	氵覀土
踞	尸古
恺	忄山己
鸠	九鸟Ｊ
邯	廿一阝
渍	氵贝
汴	氵亠卜
蜈	虫口大
惦	忄广占
谑	讠虍Ｅ
砌	石七刀
辎	车巛田
贿	贝冃
癫	疒十页
诫	讠戈廾
赘	敖贝Ｚ
伎	亻十又
铐	钅耂丂
诣	讠匕日
匡	匚王Ｋ
岌	山及Ｊ
旎	族尸匕
锈	钅禾乃
桅	木
鸯	央鸟Ｙ
鲲	鱼日比
莞	萱元Ｇ
玮	王二卩
剌	木口刂
茱	艹朱Ｚ
祁	礻阝Ｑ
奠	酋大Ｄ
岱	代山Ｄ
辫	辛纟辛
闵	门文Ｍ
燎	火大小
椒	木卜又
缇	纟日止
惴	忄山皿
疮	疒仓Ｃ
酌	酉勹丶
窖	穴告Ｊ
邬	乌阝Ｗ
呦	口幺力
顼	王页Ｘ
岐	山十又
捋	扌爫寸
飕	风叟Ｓ
楮	木者Ｃ
帷	巾隹Ｗ
笃	马Ｄ
噔	口癶首
骰	骨殳Ｔ
鄂	口Ｓ阝
珏	王王丶
汩	氵曰Ｇ
鑫	金金金
嘤	口贝女
掰	分手
峦	亦山Ｌ
冢	冖豕丶
瓮	八厶瓦
唏	口乂巾
蟆	虫莫Ｍ
掣	牛刂手
隘	阝首皿
瞩	目尸冂
茗	艹夕口
哝	口巾ｒ
拷	扌耂丂
蚣	虫八厶
慵	忄广冃
洼	氵圭Ｗ
牟	厶牛Ｍ
娄	米女Ｌ
敝	丷巾攵
孜	子攵Ｚ
龌	止凵土
餮	歹人食
窦	穴十头
烘	火八
咣	口儿
飒	立风Ｓ
咎	夂卜口
憧	忄立里
逵	土八辶
闽	门虫Ｍ
啷	口丶阝
睨	目臼儿
铅	钅几口
楷	木比白
绎	纟又干
皎	白亠父
龊	止凵足
阉	门大日
黠	黑吉Ｘ
隼	隹十Ｓ
菌	艹囗禾
钗	钅又丶
诶	讠厶矢
杠	木工Ｇ
靥	厂大罒
饲	饣一
蜃	厂ｒ虫
筛	刂巾
淼	水水水
粪	米八
颍	匕水页
喏	口艹口
苔	艹厶口
啬	十首囗
闸	门甲Ｚ
憬	忄日小
伢	亻一才
酝	酉云Ｙ
柬	木柬Ｊ
啄	口豕丶
窑	穴缶Ｙ
旖	族大可
喵	口艹田
寰	宀罒ｒ
羔	灬Ｇ
膳	月羊口
缅	纟丆罒
垣	土一一
筠	土勹
乒	丘丿Ｐ
榨	木穴乍
笈	及Ｊ
瞑	目冖八
剁	几木刂
奚	爫幺大
兖	亠八儿
庵	广大乚
瓒	王贝
孺	子雨皿
梓	木辛Ｚ
杵	木午Ｃ
扉	户非Ｆ
诲	讠母
坍	土冂亠
咂	口匚巾
噤	口林示
峥	山亅
纶	纟人匕
壑	卜又土
殉	歹勹日
辐	车畐Ｆ
蜕	虫丷儿
唆	口厶夂
阖	门土厶
谛	讠旁巾
穗	禾士心
琶	王王巴
螳	虫尚土
盎	央皿Ａ
褒	衣亻口
贲	十艹贝
毋	毋ＷＵ
淬	氵亠十
藻	落氵木
粟	覀米Ｓ
袜	衤末Ｗ
佟	亻夂冫
簸	其皮
苇	艹二卩
醇	酉高子
枣	木冂冫
拗	扌幺力
椎	木隹Ｚ
橡	木象Ｘ
蹋	日羽
遐	尸尸辶
拌	扌半Ｂ
馋	饣冫
橘	木冂
霭	雨讠勹
啜	口又又
撮	扌日又
馒	饣日又
纬	纟二卩
嬴	赢女Ｙ
潺	氵尸子
筏	亻戈
宦	宀匚丨
娑	氵少女
鹭	各鸟
玎	王丁Ｄ
抉	扌夬Ｊ
匍	勹甫Ｐ
蕃	艹丿田
恻	忄贝刂
乓	丘丶Ｐ
苞	艹包Ｂ
胥	乛止冃
帛	白巾Ｂ
驮	马大Ｔ
痪	疒大
碾	石尸ｒ
陕	阝夫丷
嬷	女广厶
髯	髟冂土
嫦	女尚巾
耷	大耳Ｄ
阑	门木柬
迳	又工辶
弈	亦廾Ｙ
眦	目止匕
侬	亻巾ｒ
娓	女尸毛
噘	口厂欠
炬	火匚尸
沥	氵厂力
曜	日羽隹
禧	礻吉口
陇	阝龙Ｌ
咛	口宁Ｎ
砾	石Ｃ小
竺	二Ｚ
胭	月囗大
涧	氵门日
墩	土高攵
呲	口止匕
篡	目厶
昙	日云Ｔ
蟠	虫丿田
旌	族丿
睦	目土土
羹	灬大
琵	王王比
咀	口且Ｊ
馅	饣臼
讷	讠内Ｎ
磷	石米舛
孵	Ｇ爫子
濒	氵止页
亘	一日一
簧	八
诬	讠工人
擞	扌米攵
魃	白儿犮
瓯	匚乂瓦
曝	日日氺
删	册刂Ｓ
徨	彳白王
宓	宀心丿
桨	丬夕木
楣	木尸目
铎	钅又干
剐	口内刂
匐	勹畐Ｆ
腆	月冂八
谏	讠木柬
粼	米夕巛
阐	门丷日
婀	女阝可
邺	业阝Ｙ
纨	纟九丶
辗	车尸ｒ
卉	十廾Ｈ
偃	亻匚日
鹊	日鸟
槛	木皿
荼	艹余Ｔ
锭	钅宀止
瘴	疒章Ｚ
瑙	王巛白
皂	白七Ｚ
踝	日木
铳	钅充儿
锄	钅且力
剃	丷丿刂
吠	口大丶
蛰	执虫Ｚ
琰	王火火
叟	叟ＳＵ
缤	纟穴丘
颌	亼口页
珈	王加Ｊ
浏	氵文刂
卤	卜囗乂
匾	匚户冊
飚	风火火
刨	包刂Ｐ
杞	木己Ｑ
馁	饣爫女
瘸	疒加内
榭	木身寸
绛	纟夂舛
姒	女以Ｓ
殒	歹口贝
瓢	覀示瓜
窈	穴幺力
栓	木全Ｓ
婊	女ｒ
譬	尸辛言
谄	讠臼
垠	土艮Ｙ
壹	士冖首
呤	口亽
烹	高乛灬
靳	革斤Ｊ
丕	不一Ｐ
蕉	艹焦Ｑ
隅	阝甲冂
礴	石落寸
嫖	女覀示
炊	火欠Ｃ
珞	王各Ｌ
挲	氵少手
蛾	虫手戈
膺	广亻冃
猬	犭田冃
潞	氵各
筐	匚王
骜	敖马Ａ
俑	亻用
鳌	敖鱼Ａ
稣	鱼禾Ｓ
蒜	艹示示
窕	穴ＫＫ
腋	月亠夂
魑	白儿文
芮	艹内Ｒ
簪	旡日
麴	木夂勹
黔	黑亽乛
垢	土Ｆ口
屉	尸世Ｔ
馀	饣余Ｙ
笋	彐丿
轼	车弋工
汲	氵及Ｊ
迥	冂口辶
垄	龙土Ｌ
弼	弓丆弓
沣	氵丰Ｆ
稼	禾宀豕
纣	纟寸Ｚ
郢	口王阝
藐	艹豸儿
寅	穴一由
戍	戊丶Ｓ
簿	氵寸
拄	扌主Ｚ
泌	氵心丿
渲	氵宀一
嚏	口十止
呓	口艹乙
篆	彑豕
斓	文门木
鲤	鱼里Ｌ
熹	吉首灬
圭	圭ＧＩ
锏	钅门日
螃	虫旁方
茎	艹又工
龇	止凵匕
丙	一内Ｂ
皑	白山己
睚	目厂圭
撂	扌田各
惆	忄冂土
鸥	匚乂鸟
嚅	口雨皿
炳	火一内
谧	讠心皿
篱	文冂
跚	册Ｓ
渤	氵十力
螓	虫禾
矶	石几Ｊ
梗	木丈日
岑	山亽乛
槌	木追辶
糗	米丿大
滤	氵虍心
蛆	虫且Ｑ
拴	扌全Ｓ
晁	日ＫＫ
犷	犭广Ｇ
潼	氵立里
灶	火土Ｚ
踵	千里
坝	土贝Ｂ
髻	髟吉Ｊ
嗲	口父夕
袒	衤日一
晔	日匕十
碳	石山火
麓	林鹿比
渝	氵亼前
涔	氵山乛
卯	Ｇ卩Ｍ
菡	艹乛凵
泯	氵巳七
撬	扌毛毛
羚	亽
抠	扌匚乂
嗬	口艹可
馈	饣贵Ｋ
骠	马覀示
凋	冫冂土
赂	贝各Ｌ
噌	口丷日
鸨	匕十鸟
苜	艹目Ｍ
幌	巾日儿
褥	衤厂寸
嘹	口大小
袂	衤夬Ｍ
荤	营车Ｈ
囤	囗七凵
裆	衤彐
盅	口丨皿
醺	酉千黑
萃	艹亠十
赧	土亦又
婵	女丷十
氤	气囗大
腼	月丆罒
梆	木丰阝
涸	氵囗古
釜	父干首
镭	钅雨田
椭	木冃
祠	礻一
硫	石充川
晤	日五口
隗	阝白儿
痉	疒又工
笺	一戈
饺	饣亠父
睐	目未丷
峒	山冂一
涤	氵夂朩
俸	亻干
玟	王文Ｗ
谪	讠啇Ｚ
渥	氵尸土
劾	亥力Ｈ
氲	气日皿
挛	亦手Ｌ
蹒	艹两
霈	雨氵巾
舫	舟方Ｆ
鳅	鱼禾火
苋	艹见Ｘ
琬	王宀
怏	忄央Ｙ
嗫	口耳又
瞰	目乛攵
蚌	虫丰Ｂ
溯	氵丷月
沓	水日Ｔ
翌	羽立Ｙ
蜻	虫青Ｑ
甭	不用Ｂ
唷	口充冃
藕	艹耒冂
疵	疒止匕
啾	口禾火
绔	纟大Ｓ
毓	母川
桉	木安Ａ
癖	疒尸辛
蝼	虫米女
韶	立日召
霁	雨文刂
蔬	艹止川
跤	亠父
甥	丿力
颐	匚丨页
怂	人人心
炕	火亠几
咿	口彐丿
咤	口宀七
毡	毛占Ｚ
桔	木吉Ｊ
鳖	丷攵鱼
弋	弋ＹＩ
撰	扌巳八
晾	日高小
泞	氵宁Ｎ
嗝	口一冂
霾	雨豸里
蟑	虫章Ｚ
臌	月十又
掬	扌勹米
绾	纟宀官
獒	敖大丶
璞	王业丶
臊	月口木
臾	臼人Ｙ
恸	忄云力
贮	贝宀一
阂	门亥Ｈ
岖	山匚乂
翟	羽隹Ｄ
咨	冫欠口
堑	车斤土
倡	亻日日
忏	忄千Ｃ
妤	女丁
啵	口氵皮
殛	歹乛一
瞌	目土皿
哐	口匚王
圃	囗甫Ｐ
蛹	虫用
俭	亻亼兴
灸	丶火
剽	覀示刂
缆	纟见
橱	木厂寸
秤	禾干丷
搪	扌广口
嗥	口白十
粲	卜又米
钛	钅大丶
圳	土川Ｚ
邕	巛口巴
畿	幺戈田
鹦	贝女鸟
淀	氵宀止
褂	衤圭卜
瘤	疒Ｃ田
忤	忄午Ｗ
笠	立Ｌ
挎	扌大Ｓ
渭	氵田冃
糯	米雨皿
祗	礻Ｃ七
肾	刂又冃
恿	用心
垛	土几木
鹉	一止鸟
纺	纟方Ｆ
觎	亼前见
觊	山己见
潋	氵亼攵
猊	犭臼儿
豺	豸才Ｃ
胚	月不一
魍	白儿冂
琛	王木
炜	火二卩
揶	扌耳阝
鬃	髟宀示
汜	氵巳Ｓ
辘	车鹿比
雹	雨包Ｂ
玷	王占Ｄ
撵	扌夫车
颦	止页卑
坳	土幺力
杳	木日Ｙ
荃	艹全Ｑ
揄	扌亼前
摁	扌囗心
咝	口丝一
辄	车耳乚
箩	罒夕
鹞	爫缶鸟
犸	犭马Ｍ
捎	扌冃
潦	氵大小
蚯	虫丘Ｑ
翊	立羽Ｙ
湄	氵尸目
芋	艹于Ｙ
靼	革日一
濑	氵木负
郸	丷十阝
啕	口勹缶
粱	氵刀米
镀	钅广又
汐	氵夕Ｘ
榆	木亼前
淇	氵其Ｑ
魉	白儿两
脓	月巾ｒ
苯	艹木一
赈	贝厂ｒ
觐	廿见
坷	土可Ｋ
篑	贵Ｋ
哂	口西Ｓ
旃	族冂亠
齑	文非刂
荦	营牛Ｌ
裟	氵少衣
辇	夫夫车
幔	巾日又
蘅	艹彳亍
颚	口Ｓ页
犄	牜大可
惰	忄冃
徙	彳止止
蚓	虫弓丨
柿	木亠巾
睥	目卑Ｐ
讹	讠亻匕
嵘	山营木
嗵	口辶
暹	日隹辶
悼	忄卜十
罔	冂首亡
琏	王车辶
蠡	彑虫虫
囵	囗人匕
骊	马一冂
堰	土匚日
趄	走且Ｊ
宸	宀厂ｒ
垦	艮土Ｋ
啻	旁巾口
趔	走歹刂
魈	白儿
麝	鹿比寸
摒	扌尸廾
遢	日羽辶
癌	疒口山
漳	氵章Ｚ
瑁	王日目
硅	石圭Ｇ
斡	十十斗
锚	钅艹田
玳	王代Ｄ
耙	耒巴Ｂ
沽	氵古Ｇ
颉	吉页Ｊ
湍	氵山皿
袤	衣才
卞	亠卜Ｂ
纰	纟比Ｐ
壬	壬ＲＮ
褶	衤羽白
袄	衤丿大
肇	户攵干
犁	禾刂牛
鼾	丿丌干
邋	巛囗辶
忻	忄斤Ｘ
淅	氵木斤
侨	亻丿刂
诽	讠非Ｆ
孪	亦子Ｌ
倨	亻尸古
脐	月文刂
皿	皿ＭＮ
阗	门十且
嘣	口山月
螭	虫文冂
腴	月臼人
骡	马田小
恣	冫欠心
瘠	疒Ｋ月
噶	口艹勹
掸	扌丷十
谙	讠立日
愠	忄日皿
谲	讠冂
叵	匚口Ｐ
痰	疒火火
薯	艹罒者
袈	加衣Ｊ
淄	氵巛田
彗	丰丰彐
恪	忄各Ｋ
孱	尸子子
迄	乙辶
蔫	艹Ｓ灬
蜗	虫口内
癞	疒木负
遑	白王辶
噫	口立心
羯	日勹
鲛	鱼亠父
涓	氵口冃
罂	贝贝缶
褛	衤米女
揩	扌比白
嫔	女穴丘
褴	衤皿
郦	一冂阝
潢	氵八
镑	钅旁方
馥	禾日夂
炖	火七凵
镣	钅大小
瘁	疒亠十
桧	木人云
讧	讠工Ｈ
迩	小辶
涮	氵尸刂
澹	氵言
嶙	山米舛
徵	微王Ｚ
蔻	萱元卜
豚	月豕Ｔ
镂	钅米女
轲	车可Ｋ
篓	米女
禺	甲冂一
樵	木焦Ｑ
遽	虍豕辶
怵	忄木丶
孬	不女子
臃	月亠隹
芹	艹斤Ｑ
挞	扌大辶
偕	亻比白
酆	丰首阝
臼	臼ＪＵ
贽	执贝Ｚ
碉	石冂土
蒯	艹月刂
夙	几歹Ｓ
煊	火宀一
蓁	艹禾
掖	扌亠夂
帚	彐冖巾
泠	氵亽
臆	月立心
粤	白米丂
銮	亦金Ｌ
抒	扌丁
偻	亻米女
庖	广包Ｐ
椰	木耳阝
琮	王宀示
匮	匚贵Ｋ
峋	山勹日
榄	木见
盹	目七凵
轧	车乚Ｚ
诋	讠Ｃ七
夥	日木夕
憩	舌丿心
戛	丆目戈
瞿	目目隹
佻	亻ＫＫ
遨	敖辶Ａ
阜	追十Ｆ
镳	钅鹿灬
蜓	虫壬廴
鏖	鹿比金
摞	扌田小
忪	忄八厶
噙	口人冂
夔	首丿夂
仞	亻刀丶
荑	艹大弓
鸢	弋鸟Ｙ
洱	氵耳Ｅ
姣	女亠父
腺	月白水
泱	氵央Ｙ
捱	扌厂圭
跆	厶口
闾	门口口
犒	牜高Ｋ
琊	王一阝
盂	于皿Ｙ
骥	马匕八
岷	山巳七
鸶	丝丝鸟
痣	疒士心
闳	门厶
帼	巾囗王
碴	石木一
芍	艹勹丶
犊	牜十头
蝈	虫囗王
粽	米宀示
侗	亻冂一
喟	口田冃
傥	亻尚儿
